Indian spinach,Basella alba,
Chard,Beta cicla,
"Beet, Beetroot",Beta vulgaris,
Common Borage,Borago officinalis,
Abyssinian Cabbage,Brassica carinata,
Indian mustard,Brassica juncea,
Rutabaga,Brassica napus,
Rape Kale,Brassica napus var. pabularia,
Black Mustard,Brassica nigra,
Wild Cabbage,Brassica oleracea,
Kale,Brassica oleracea var. acephala,
Kai-lan,Brassica oleracea var. alboglabra,
Cauliflower,Brassica oleracea var. botrytis,
Cabbage,Brassica oleracea var. capitata,
Brussels Sprouts,Brassica oleracea var. gemmifera,
Broccoli,Brassica oleracea var. italica,
Lacinato kale,Brassica oleracea var. palmifolia,
Turnip,Brassica rapa subsp. rapa,
Bok Choi,Brassica rapa subsp. chinensis,
Chinese Savoy,Brassica oleracea var. sabauda L.,
Mizuna,Brassica rapa subsp. nipposinica,
Napa Cabbage,Brassica rapa subsp. pekinensis,
Rapini,Brassica rapa,
Komatsuna,Brassica rapa var. perviridis,
Tatsoi,Brassica rapa var. rosularis,
Rampion,Campanula rapunculus,
Harebell,Campanula versicolor,
Labuyo chili,Capsicum frutescens,
Papaya,Carica papaya,
Wild Coxcomb,Celosia argentea var. argentea,
"Asian pennywort, Gotukola",Centella asiatica,
American Wormseed,Chenopodium album,
Southern Huauzontle,Chenopodium ambrosioides,
Good King Henry,Chenopodium berlandieri subsp. nuttalliae,
Tree Spinach,Chenopodium bonus-henricus,
Oak-Leaved Goosefoot,Chenopodium giganteum,
Huauzontle,Chenopodium glaucum,
Quinoa,Chenopodium nuttalliae,
Red Goosefoot,Chenopodium quinoa subsp. quinoa,
Garland chrysanthemum,Chenopodium rubrum,
Endive,Chrysanthemum coronarium,
Curly endive,Cichorium endivia,
Broad-leaved endive,Cichorium endivia var. crispum,
Chicory,Cichorium endivia var. latifolium,
Belgian endive,Cichorium intybus,
Puntarelle,Cichorium intybus var. foliosum,
Radicchio,Cichorium intybus var. foliosum,
Sugarloaf,Cichorium intybus var. foliosum,
Cabbage thistle,Cichorium intybus,
Miner's lettuce,Cirsium oleraceum,
Siberian spring beauty,Claytonia perfoliata,
African cabbage,Claytonia sibirica,
Chaya or Tree spinach,Cleome gynandra,
Ivy Gourd,Cnidoscolus aconitifolius,
Taro,Coccinia grandis,
Jew's mallow,Colocasia esculenta,
"Cilantro, Coriander",Corchorus olitorius,
